Voltage,AC_Geyser_Load,Fridge_WashingMachine_Load,Microwave_Oven_Load,Fan_Light_Load,AC_Current,Fridge_Current,Fan_Current
237.17,17.0,0.0,0.0,30.97,4.78,0.0,8.25
238.59,18.0,0.0,0.0,12.8,5.03,0.0,3.39
237.43,17.0,0.0,0.0,41.23,4.77,0.0,10.97
237.73,17.0,0.0,0.0,40.0,4.77,0.0,10.63
237.2,18.0,0.0,0.0,35.77,5.06,0.0,9.52
238.41,17.0,0.0,0.0,15.47,4.75,0.0,4.1
236.6,17.0,0.0,0.0,39.53,4.79,0.0,10.55
236.12,17.0,0.0,0.0,39.13,4.8,0.0,10.47
236.54,17.0,0.0,0.0,39.3,4.79,0.0,10.49
238.48,18.0,0.0,0.0,13.2,5.03,0.0,3.5
237.27,17.0,0.0,0.0,36.53,4.78,0.0,9.72
237.06,17.0,0.0,0.0,38.77,4.78,0.0,10.33
236.49,17.0,0.0,0.0,38.13,4.79,0.0,10.18
236.28,17.0,0.0,0.0,38.03,4.8,0.0,10.17
236.89,18.0,0.0,0.0,21.33,5.07,0.0,5.69
236.64,17.0,0.0,0.0,27.2,4.79,0.0,7.26
236.58,17.0,1.0,0.0,38.53,4.79,0.3,10.29
236.83,17.0,2.0,0.0,37.63,4.79,0.6,10.04
237.75,17.0,1.0,0.0,39.07,4.77,0.3,10.38
239.69,18.0,2.0,0.0,11.0,5.01,0.59,2.9
238.95,17.0,1.0,0.0,36.17,4.74,0.3,9.56
236.46,18.0,1.0,0.0,39.37,5.07,0.3,10.51
235.98,17.0,2.0,0.0,39.07,4.8,0.6,10.46
235.85,17.0,1.0,0.0,39.97,4.81,0.3,10.7
238.19,17.0,2.0,0.0,9.27,4.76,0.59,2.46
236.28,17.0,1.0,0.0,40.23,4.8,0.3,10.75
236.4,17.0,1.0,0.0,40.03,4.79,0.3,10.7
236.46,17.0,2.0,0.0,39.0,4.79,0.6,10.42
236.28,17.0,1.0,0.0,39.9,4.8,0.3,10.67
237.33,18.0,1.0,0.0,19.47,5.06,0.3,5.18
237.09,17.0,2.0,0.0,29.77,4.78,0.6,7.93
236.39,17.0,1.0,0.0,39.87,4.79,0.3,10.65
236.75,17.0,1.0,0.0,40.0,4.79,0.3,10.67
235.73,17.0,2.0,0.0,38.57,4.81,0.6,10.33
236.03,17.0,1.0,0.0,39.73,4.8,0.3,10.63
237.68,18.0,1.0,0.0,10.77,5.05,0.3,2.86
235.99,17.0,1.0,0.0,35.03,4.8,0.3,9.38
236.26,17.0,2.0,0.0,37.3,4.8,0.6,9.97
236.03,17.0,1.0,0.0,38.2,4.8,0.3,10.22
235.7,17.0,1.0,0.0,38.03,4.81,0.3,10.19
236.08,17.0,1.0,0.0,33.87,4.8,0.3,9.06
237.31,17.0,0.0,0.0,9.9,4.78,0.0,2.63
236.14,17.0,0.0,0.0,38.97,4.8,0.0,10.42
236.61,17.0,0.0,0.0,39.47,4.79,0.0,10.53
236.93,17.0,0.0,0.0,39.53,4.78,0.0,10.54
237.97,18.0,0.0,0.0,28.83,5.04,0.0,7.65
238.02,17.0,0.0,0.0,19.33,4.76,0.0,5.13
236.06,17.0,0.0,0.0,39.17,4.8,0.0,10.48
234.45,17.0,0.0,0.0,38.43,4.83,0.0,10.35
235.31,9.0,0.0,0.0,37.3,2.55,0.0,10.01
237.1,0.0,0.0,0.0,39.3,0.0,0.0,10.47
238.68,0.0,0.0,0.0,16.0,0.0,0.0,4.23
238.76,0.0,0.0,0.0,26.77,0.0,0.0,7.08
238.59,0.0,0.0,0.0,39.17,0.0,0.0,10.37
238.87,0.0,0.0,0.0,40.47,0.0,0.0,10.7
238.97,0.0,0.0,0.0,34.63,0.0,0.0,9.15
239.93,0.0,0.0,0.0,13.0,0.0,0.0,3.42
239.05,0.0,0.0,0.0,40.43,0.0,0.0,10.68
238.46,0.0,0.0,0.0,40.2,0.0,0.0,10.65
239.68,0.0,0.0,0.0,40.47,0.0,0.0,10.66
240.72,0.0,0.0,0.0,25.5,0.0,0.0,6.69
240.87,0.0,0.0,0.0,23.13,0.0,0.0,6.07
239.71,0.0,0.0,0.0,40.4,0.0,0.0,10.64
239.89,0.0,0.0,0.0,40.47,0.0,0.0,10.65
239.48,0.0,0.0,0.0,39.8,0.0,0.0,10.5
241.64,0.0,0.0,0.0,6.27,0.0,0.0,1.64
240.07,0.0,0.0,0.0,36.7,0.0,0.0,9.66
239.77,0.0,0.0,0.0,40.5,0.0,0.0,10.67
240.05,0.0,0.0,0.0,39.1,0.0,0.0,10.29
239.75,0.0,0.0,0.0,31.93,0.0,0.0,8.41
240.58,0.0,0.0,0.0,6.4,0.0,0.0,1.68
239.2,0.0,0.0,0.0,38.9,0.0,0.0,10.27
238.84,0.0,0.0,0.0,38.67,0.0,0.0,10.22
238.39,0.0,0.0,0.0,38.43,0.0,0.0,10.18
238.39,0.0,0.0,0.0,38.43,0.0,0.0,10.18
241.06,0.0,0.0,0.0,7.27,0.0,0.0,1.9
240.89,0.0,0.0,0.0,26.4,0.0,0.0,6.92
239.46,0.0,0.0,0.0,38.8,0.0,0.0,10.23
239.27,0.0,0.0,0.0,38.77,0.0,0.0,10.23
239.57,0.0,0.0,0.0,38.9,0.0,0.0,10.26
239.99,0.0,0.0,0.0,30.77,0.0,0.0,8.1
242.04,0.0,0.0,0.0,4.73,0.0,0.0,1.24
239.89,0.0,0.0,0.0,39.03,0.0,0.0,10.28
239.91,0.0,0.0,0.0,39.87,0.0,0.0,10.5
240.02,0.0,0.0,0.0,40.23,0.0,0.0,10.59
239.97,0.0,0.0,0.0,40.23,0.0,0.0,10.59
241.27,0.0,0.0,0.0,12.57,0.0,0.0,3.29
238.64,0.0,0.0,0.0,23.67,0.0,0.0,6.26
237.47,0.0,0.0,0.0,41.13,0.0,0.0,10.94
238.05,0.0,0.0,0.0,41.23,0.0,0.0,10.94
239.03,0.0,0.0,0.0,41.47,0.0,0.0,10.96
240.28,0.0,0.0,0.0,30.17,0.0,0.0,7.93
241.36,0.0,0.0,0.0,11.23,0.0,0.0,2.94
239.42,0.0,0.0,0.0,40.73,0.0,0.0,10.75
238.9,0.0,0.0,0.0,40.17,0.0,0.0,10.62
239.13,0.0,0.0,0.0,40.2,0.0,0.0,10.62
239.37,0.0,0.0,0.0,36.77,0.0,0.0,9.7
241.58,0.0,0.0,0.0,6.17,0.0,0.0,1.61
240.11,0.0,0.0,0.0,35.07,0.0,0.0,9.22
238.73,0.0,0.0,0.0,40.07,0.0,0.0,10.6
239.52,0.0,0.0,0.0,40.3,0.0,0.0,10.63
239.74,0.0,0.0,0.0,39.03,0.0,0.0,10.28
240.96,0.0,0.0,0.0,21.03,0.0,0.0,5.51
241.64,0.0,0.0,0.0,14.2,0.0,0.0,3.71
240.05,0.0,0.0,0.0,39.0,0.0,0.0,10.26
240.07,0.0,0.0,0.0,38.93,0.0,0.0,10.24
239.99,0.0,0.0,0.0,38.9,0.0,0.0,10.24
239.74,0.0,0.0,0.0,38.83,0.0,0.0,10.23
241.17,0.0,0.0,0.0,17.3,0.0,0.0,4.53
242.39,0.0,0.0,0.0,6.43,0.0,0.0,1.68
240.41,0.0,0.0,0.0,39.17,0.0,0.0,10.29
240.5,0.0,0.0,0.0,39.1,0.0,0.0,10.27
240.55,0.0,0.0,0.0,39.1,0.0,0.0,10.27
240.97,0.0,0.0,0.0,30.57,0.0,0.0,8.01
241.58,0.0,0.0,0.0,20.37,0.0,0.0,5.32
240.21,0.0,0.0,0.0,39.03,0.0,0.0,10.26
239.98,0.0,0.0,0.0,38.9,0.0,0.0,10.24
240.65,0.0,0.0,0.0,27.77,0.0,0.0,7.29
241.68,0.0,0.0,0.0,19.97,0.0,0.0,5.22
240.7,0.0,0.0,0.0,39.17,0.0,0.0,10.28
240.7,0.0,0.0,0.0,39.97,0.0,0.0,10.49
240.11,0.0,0.0,0.0,40.73,0.0,0.0,10.71
241.71,0.0,0.0,0.0,6.77,0.0,0.0,1.77
240.13,0.0,0.0,0.0,40.57,0.0,0.0,10.67
240.24,0.0,0.0,0.0,41.7,0.0,0.0,10.96
240.53,0.0,0.0,0.0,41.97,0.0,0.0,11.02
241.36,0.0,0.0,0.0,25.27,0.0,0.0,6.61
241.02,0.0,0.0,0.0,24.97,0.0,0.0,6.54
240.06,0.0,0.0,0.0,41.8,0.0,0.0,11.0
240.09,0.0,0.0,0.0,41.73,0.0,0.0,10.98
239.49,0.0,0.0,0.0,41.53,0.0,0.0,10.95
242.16,0.0,0.0,0.0,13.57,0.0,0.0,3.54
240.95,0.0,0.0,0.0,38.4,0.0,0.0,10.07
241.74,0.0,0.0,0.0,42.17,0.0,0.0,11.02
241.18,0.0,0.0,0.0,39.63,0.0,0.0,10.38
243.73,0.0,0.0,0.0,6.4,0.0,0.0,1.66
241.48,0.0,0.0,0.0,39.5,0.0,0.0,10.33
241.13,0.0,0.0,0.0,39.3,0.0,0.0,10.29
240.96,0.0,0.0,0.0,39.2,0.0,0.0,10.27
242.94,0.0,0.0,0.0,6.93,0.0,0.0,1.8
240.74,0.0,0.0,0.0,44.23,0.0,0.0,11.6
241.23,0.0,0.0,0.0,42.33,0.0,0.0,11.08
241.79,0.0,0.0,0.0,42.1,0.0,0.0,11.0
241.83,0.0,0.0,0.0,20.1,0.0,0.0,5.25
238.71,0.0,0.0,0.0,64.07,0.0,0.0,16.95
237.99,0.0,0.0,0.0,68.7,0.0,0.0,18.23
238.89,0.0,0.0,0.0,57.63,0.0,0.0,15.24
240.26,0.0,0.0,0.0,33.13,0.0,0.0,8.71
240.88,0.0,0.0,0.0,9.93,0.0,0.0,2.6
240.69,0.0,0.0,0.0,21.5,0.0,0.0,5.64
239.43,0.0,1.0,0.0,44.5,0.0,0.29,11.74
239.81,0.0,2.0,0.0,43.57,0.0,0.59,11.47
241.27,0.0,1.0,0.0,45.07,0.0,0.29,11.8
241.63,0.0,1.0,0.0,42.1,0.0,0.29,11.0
242.73,0.0,2.0,0.0,15.4,0.0,0.58,4.01
242.2,0.0,1.0,0.0,24.33,0.0,0.29,6.35
240.14,0.0,2.0,0.0,48.63,0.0,0.59,12.79
239.97,0.0,1.0,0.0,48.57,0.0,0.29,12.78
240.39,0.0,2.0,0.0,45.43,0.0,0.59,11.94
240.59,0.0,1.0,0.0,46.47,0.0,0.29,12.2
241.14,0.0,1.0,0.0,46.63,0.0,0.29,12.21
241.62,0.0,2.0,0.0,39.2,0.0,0.58,10.25
243.75,0.0,1.0,0.0,9.97,0.0,0.29,2.58
242.09,0.0,2.0,0.0,11.97,0.0,0.58,3.12
239.45,0.0,1.0,0.0,42.47,0.0,0.29,11.2
239.44,0.0,1.0,0.0,42.3,0.0,0.29,11.16
238.71,0.0,2.0,0.0,40.67,0.0,0.59,10.76
236.95,0.0,1.0,0.0,41.1,0.0,0.3,10.96
237.55,0.0,1.0,0.0,40.2,0.0,0.3,10.69
238.48,0.0,1.0,0.0,26.63,0.0,0.3,7.05
239.79,0.0,2.0,0.0,5.03,0.0,0.59,1.33
239.47,0.0,1.0,0.0,12.17,0.0,0.29,3.21
238.51,0.0,1.0,0.0,39.6,0.0,0.3,10.49
239.03,0.0,1.0,0.0,38.93,0.0,0.3,10.29
238.37,0.0,1.0,0.0,37.97,0.0,0.3,10.06
238.38,0.0,0.0,0.0,38.4,0.0,0.0,10.17
240.56,0.0,0.0,0.0,4.6,0.0,0.0,1.21
239.84,0.0,0.0,0.0,11.87,0.0,0.0,3.12
239.11,0.0,0.0,0.0,38.87,0.0,0.0,10.27
239.99,0.0,0.0,0.0,39.07,0.0,0.0,10.28
240.64,0.0,0.0,0.0,39.23,0.0,0.0,10.3
239.45,0.0,0.0,0.0,38.87,0.0,0.0,10.25
241.4,0.0,0.0,0.0,39.47,0.0,0.0,10.33
243.68,0.0,0.0,0.0,10.2,0.0,0.0,2.64
244.03,0.0,0.0,0.0,4.77,0.0,0.0,1.23
242.07,0.0,0.0,0.0,32.53,0.0,0.0,8.49
241.86,0.0,0.0,0.0,39.6,0.0,0.0,10.34
241.7,0.0,0.0,0.0,39.57,0.0,0.0,10.34
240.0,0.0,0.0,0.0,40.1,0.0,0.0,10.55
242.0,0.0,0.0,0.0,16.73,0.0,0.0,4.37
